,city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
242,2112802,hasaki,JP,35.73,140.83,1590173579,59.0,100,75,4.7
243,2079582,alyangula,AU,-13.85,136.42,1590173706,69.8,73,90,10.29
244,646005,mikkeli,FI,61.69,27.27,1590173706,54.03,28,0,2.24
245,739598,sinop,TR,41.77,34.87,1590173706,41.58,88,100,4.63
246,1142226,dawlatabad,AF,36.41,64.91,1590173706,77.07,22,0,1.52
247,1528998,yumen,CN,40.28,97.2,1590173591,59.41,47,100,7.63
248,2098329,daru,PG,-9.08,143.21,1590173706,79.09,91,1,6.22
249,1253237,veraval,IN,20.9,70.37,1590173706,82.44,81,0,10.4
250,5855051,ewa beach,US,21.32,-158.01,1590173706,77.02,57,20,5.82
251,4167482,palatka,US,29.65,-81.64,1590173706,92.57,38,20,3.36
252,1636426,manggar,ID,-2.88,108.27,1590173707,81.68,80,99,4.05
253,3587037,chinameca,SV,13.5,-88.35,1590173707,89.6,62,40,3.36
254,1731248,alugan,PH,12.22,125.48,1590173707,81.0,87,100,5.93
255,3108702,sopelana,ES,43.38,-2.98,1590173707,65.97,77,75,6.93
256,3133983,trofors,NO,65.53,13.41,1590173707,60.8,31,65,6.93
257,889215,kariba,ZW,-16.52,28.8,1590173707,63.97,65,0,2.82
258,2121385,severo-kurilsk,RU,50.68,156.12,1590173707,38.28,77,9,11.16
259,3176748,forio,IT,40.73,13.86,1590173707,69.64,70,58,11.01
260,1337610,thinadhoo,MV,0.53,72.93,1590173544,84.97,77,100,17.11
261,6696258,campbellton,CA,48.01,-66.67,1590173638,60.96,31,100,15.5
262,2366168,kande,TG,9.96,1.04,1590173707,87.8,55,20,4.7
263,1486321,yar-sale,RU,66.83,70.83,1590173707,55.56,56,22,12.41
264,3836277,santa fe,AR,-31.63,-60.7,1590173512,54.0,78,100,11.01
265,3394023,natal,BR,-5.79,-35.21,1590173432,81.46,88,75,12.75
266,5044290,saint anthony,US,45.02,-93.22,1590173708,65.73,63,90,11.41
267,3698359,chicama,PE,-7.84,-79.15,1590173708,74.95,60,52,10.56
268,5781993,springville,US,40.17,-111.61,1590173708,68.7,18,75,16.11
269,2077895,alice springs,AU,-23.7,133.88,1590173579,37.4,59,0,5.82
270,3395458,maragogi,BR,-9.01,-35.22,1590173586,81.81,81,0,7.67
271,2013727,vanavara,RU,60.34,102.28,1590173708,54.61,54,0,0.4
272,53654,mogadishu,SO,2.04,45.34,1590173417,80.69,80,100,15.95
273,6180550,whitehorse,CA,60.72,-135.05,1590173448,57.07,33,20,14.99
274,3407762,amapa,BR,1.0,-52.0,1590173708,78.76,96,100,2.62
275,610529,atyrau,KZ,47.12,51.88,1590173708,66.2,72,15,6.71
276,3835869,santiago del estero,AR,-27.8,-64.26,1590173709,65.77,27,0,22.86
277,2274895,monrovia,LR,6.3,-10.8,1590173514,86.0,74,75,9.17
278,3843123,neuquen,AR,-38.95,-68.06,1590173689,59.0,47,6,10.29
279,1651810,airai,TL,-8.93,125.41,1590173709,61.52,100,100,1.99
280,3355672,luderitz,NA,-26.65,15.16,1590173709,62.6,77,0,14.99
281,2246922,ourossogui,SN,15.61,-13.32,1590173709,114.8,15,67,2.24
282,3893629,coquimbo,CL,-29.95,-71.34,1590173662,62.6,51,13,13.87
283,750510,bolu,TR,40.67,31.58,1590173709,37.83,82,32,2.77
