,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
175,@CBS,@cbs @NorahODonnell https://t.co/jnwnZ29Sij,Fri May 22 17:58:32 +0000 2020,0.0,0.0,1.0,0.0,176
176,@CBS,RT @cuddlycrow: @RealJamesWoods @CBS @NBC @ABC @CNN @MSNBC @CBS_Herridge This should be reported on to bring light to the atrocities that t…,Fri May 22 17:56:06 +0000 2020,0.0,0.0,1.0,0.0,177
177,@CBS,"RT @TheWantedEmcees: Did Bill Clinton &amp; Prince Andrew rape children provided by Jeffrey Epstein?
@CNN @FOX @ABC @NBC @CBS @BillClinton @The…",Fri May 22 17:52:15 +0000 2020,-0.6908,0.0,0.81,0.19,178
178,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Taking a wholesome not-for-profit @somegoodnews and turning it into a ca… https://t.co/0NYKUg9l0W,Fri May 22 17:50:52 +0000 2020,0.0,0.0,1.0,0.0,179
179,@CBS,"Going Live in ~10 Mins.
Neutralizing Antibodies Across Three Labs: The Science Behind the Scenes… https://t.co/j0hhJNqVol",Fri May 22 17:50:14 +0000 2020,0.0,0.0,1.0,0.0,180
180,@CBS,"@Miniac33 @somegoodnews @CBS @johnkrasinski https://t.co/SyjsFBAh0u

""The popular digital series, created and origi… https://t.co/FegBXBSLor",Fri May 22 17:47:06 +0000 2020,0.5859,0.304,0.696,0.0,181
181,@CBS,@CNNSitRoom @CNN @ABC @CBS @AC360 @BrookeBCNN @ChrisCuomo,Fri May 22 17:45:37 +0000 2020,0.0,0.0,1.0,0.0,182
182,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Mr. Krasinski was never going to keep doing this from a room in his hous… https://t.co/bpQwUu4gWi,Fri May 22 17:42:42 +0000 2020,0.0,0.0,1.0,0.0,183
183,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 17:40:07 +0000 2020,0.4588,0.125,0.875,0.0,184
184,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 17:28:09 +0000 2020,0.4588,0.125,0.875,0.0,185
185,@CBS,@mariem201 @BritBoysRock @YandR_CBS @CBS @MyJasonThompson @ChristelAdnana @MarkGrossman @BrytonEjames @SashaCalle… https://t.co/VlGoNCzx6J,Fri May 22 17:27:22 +0000 2020,0.0,0.0,1.0,0.0,186
186,@CBS,"Great day to celebrate with our beta clients @FoxTV, @WarnerGrp, @Discovery, @AMCTV @AENetworks, @NBCUniversal,… https://t.co/TyRHc3Zr2V",Fri May 22 17:27:14 +0000 2020,0.8316,0.375,0.625,0.0,187
187,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 17:23:08 +0000 2020,0.4588,0.125,0.875,0.0,188
188,@CBS,@somegoodnews @behemothdan @rcadden @CBS @CBSNews But *cable* isn’t free and it’s much more expensive than my inter… https://t.co/dCXLdoeVex,Fri May 22 17:21:48 +0000 2020,0.6652,0.207,0.793,0.0,189
189,@CBS,"RT @helen_chem: Sharing my love for polymers + stretchable electronics on TV @CBS this Saturday! 🤩

Watch it with your kids / teens / famil…",Fri May 22 17:18:28 +0000 2020,0.807,0.241,0.759,0.0,190
190,@CBS,@BandB_CBS @CBS Ugh!! Like why!!?? Bill Bell had the  BEST couple (Tridge)  until  Brad Bell ruined them.,Fri May 22 17:16:55 +0000 2020,0.6201,0.322,0.467,0.212,191
191,@CBS,@somegoodnews @MattS_NI @johnkrasinski @CBS @CBSNews But CBS All access is not. so if you move does that mean peopl… https://t.co/aBfEvyJfxt,Fri May 22 17:15:51 +0000 2020,0.0,0.0,1.0,0.0,192
192,@CBS,"RT @DaytimeEmmys: The #DaytimeEmmys nominees in MORNING SHOW are...
CBS Sunday Morning │  @CBSSunday @CBS
CBS This Morning │ @CBSThisMornin…",Fri May 22 17:12:55 +0000 2020,0.0,0.0,1.0,0.0,193
193,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 17:12:04 +0000 2020,0.4588,0.125,0.875,0.0,194
194,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 17:03:37 +0000 2020,0.4588,0.125,0.875,0.0,195
195,@CBS,@BlackMa04831503 @cuddlycrow @RealJamesWoods @CBS @nbc @ABC @CNN @MSNBC @CBS_Herridge Put him in the general popula… https://t.co/wju748Yi9J,Fri May 22 17:02:51 +0000 2020,0.0,0.0,1.0,0.0,196
196,@CBS,@CassadyJaphy @CBSNews @johnkrasinski @somegoodnews @CBS Free on YouTube if you pay monthly for internet without da… https://t.co/HMhF21DwwK,Fri May 22 17:01:19 +0000 2020,0.4404,0.168,0.761,0.071,197
197,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 17:00:58 +0000 2020,0.4588,0.125,0.875,0.0,198
198,@CBS,@Milesm31 @ProfTerguson_86 @CBSNews @johnkrasinski @somegoodnews @CBS @PhillyD This answer right f**king here.,Fri May 22 16:59:08 +0000 2020,0.0,0.0,1.0,0.0,199
199,@CBS,@jaimecamil @broke @LAFC @JordanCHarvey @CBS Go Jordan! Look forward to seeing you!,Fri May 22 16:57:54 +0000 2020,-0.5242,0.0,0.765,0.235,200
200,@CBS,"RT @jaimecamil: So excited about “soccer”, TONIGHT’S ALL NEW @broke episode 🎉🥳🙌🏼 And yes, @LAFC’s @JordanCHarvey will be joining us 😎 See y…",Fri May 22 16:56:29 +0000 2020,0.8838,0.314,0.623,0.062,201
201,@CBS,@QuinJefferspin @CBSNews @johnkrasinski @somegoodnews @CBS They just did,Fri May 22 16:53:41 +0000 2020,0.0,0.0,1.0,0.0,202
202,@CBS,@ViacomCBS @CBS @CBSAllAccess @PlutoTV @bcbeat 😴,Fri May 22 16:53:40 +0000 2020,0.0,0.0,1.0,0.0,203
203,@CBS,"@Square @CashApp #fraud #theft #SCAM #Veterans #Military #coronavirus #COVID19 @bbb_us 

#Square &amp; #CashApp facilit… https://t.co/hvv3IbQiFo",Fri May 22 16:53:37 +0000 2020,-0.8494,0.0,0.612,0.388,204
204,@CBS,@Miniac33 @somegoodnews @CBS @johnkrasinski Too bad @johnkrasinski won't be the host.,Fri May 22 16:52:32 +0000 2020,-0.5423,0.0,0.741,0.259,205
205,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:51:23 +0000 2020,0.4588,0.125,0.875,0.0,206
206,@CBS,"@CBSNews @johnkrasinski @somegoodnews @CBS @cbsnews, @ViacomCBS Please don't ruin this. We love @johnkrasinski &amp;… https://t.co/qMciS6ilaG",Fri May 22 16:50:51 +0000 2020,0.8615,0.444,0.556,0.0,207
207,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:50:27 +0000 2020,0.4588,0.125,0.875,0.0,208
208,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS I would consider CBS'S Sunday Morning show a good news show too.,Fri May 22 16:49:25 +0000 2020,0.4404,0.162,0.838,0.0,209
209,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:49:14 +0000 2020,0.4588,0.125,0.875,0.0,210
210,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:48:23 +0000 2020,0.4588,0.125,0.875,0.0,211
211,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:46:21 +0000 2020,0.4588,0.125,0.875,0.0,212
212,@CBS,@somegoodnews @MattS_NI @johnkrasinski @CBS @CBSNews @somegoodnews you could have published your own app with all y… https://t.co/LYSbNNVBuB,Fri May 22 16:44:24 +0000 2020,0.0,0.0,1.0,0.0,213
213,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:43:25 +0000 2020,0.4588,0.125,0.875,0.0,214
214,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,Fri May 22 16:42:05 +0000 2020,0.0,0.0,1.0,0.0,215
215,@CBS,@somegoodnews @rcadden @CBS @CBSNews You're starting on CBS All Access which IS behind a pay wall. https://t.co/4JwrMlRVyA,Fri May 22 16:41:41 +0000 2020,-0.1027,0.0,0.92,0.08,216
216,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:41:34 +0000 2020,0.4588,0.125,0.875,0.0,217
217,@CBS,@KeishaBottoms I hope you enjoy the aerial footage of the Atlanta Skyline.  I'm an aerial photographer and videogra… https://t.co/CilV2M8Ydt,Fri May 22 16:40:53 +0000 2020,0.7269,0.264,0.736,0.0,218
